source,target
_imthearmy,NA
goldenamjooon,NA
BANGTAN4gu5stD,NA
hanbinjjkay,NA
ofLucieI,NA
lali_mebo,NA
Moenlight7,NA
vantaebish,NA
xxJungkook_97xx,NA
omayramendozamo,NA
stobit23,NA
arin_watson,NA
shadeambrusio,NA
seskiki_,NA
SnowyDollGirl,NA
_taehyungie_bts,NA
P0SHED,NA
szafflunBelle,NA
STANNINGBTS4,NA
Sobrina81032587,NA
jeonxphoria,NA
KrishnaCortez26,NA
vantaebish,NA
baddbadbyee,NA
roshnabts,NA
zjmepiphany,NA
rain_forever13,NA
borahae_hoba,NA
rockwkooz,NA
mahaeists_,NA
SeokjinieOT7,NA
tanisha_hassan,NA
yourhaniss,NA
_taehyungie_bts,NA
angi25love,NA
SnowyDollGirl,NA
stobit23,NA
jjkmnies_,NA
emilianm_,NA
SnowyDollGirl,NA
BangtanLouise87,NA
AartiYadav2208,NA
Seven_Eternal_7,NA
yourgirlherexox,NA
stobit23,NA
purplebyvante,NA
twt_for_bangtan,NA
itsmmima,NA
e_jjk281,NA
Yooonniie,NA
_happyyoongles,NA
ibethcarolinacg,NA
rossietwt,NA
Milina88195397,NA
kayrasaurus,NA
Ranie135,NA
BangtanArmyLuv,NA
vantaebish,NA
pikaaalipa,NA
e_jjk281,NA
svt_fan03,NA
P0SHED,NA
minielocket,NA
IamSayantaniRoy,NA
armybtslouise,NA
fallingbyjjk,NA
castcrane,NA
yourhaniss,NA
CosmosTannie,NA
_happyyoongles,NA
lvstivhs,NA
cailala3,NA
Laura39644610,NA
e_jjk281,NA
imaham1512,NA
pamelarivi,NA
angel_seok__,NA
_HRamn,NA
SnowyDollGirl,NA
SunflowerBaby36,NA
bIuetelepathy,NA
littlebear_0598,NA
Haru23392430,NA
jungkookie_0903,NA
MapOfEmag,NA
hobikkari,NA
BunnysPrincess2,NA
mikshien,NA
imaham1512,NA
biscominaj,NA
maritesnecesito,NA
jooniiscrab,NA
7_only_Bts,NA
e_jjk281,NA
magnus_min,NA
jeon_eloi,NA
_HRamn,NA
Twistrose_key,NA
minyeona0613,NA
_happyyoongles,NA
jungkookie_0903,NA
_HRamn,NA
shawnistae,NA
TETEKIM613,NA
IParkxox,NA
Sneakugotnojams,NA
kirana_dns,NA
_happyyoongles,NA
purple_twt1,NA
trusfratedafff,NA
Srishti72830000,NA
Resh_mi19,NA
fathmaalikhan,NA
Twistrose_key,NA
Dems025,NA
CRIZOTOKO,NA
BTS_arte,NA
BuButterfly_,NA
IParkxox,NA
sandefuraj,NA
CRIZOTOKO,NA
_jeonova,NA
wonderfullyedi,NA
prettybeargyu,NA
xxxcaca__,NA
sugaskip,NA
_yougotnojams_7,NA
jiminbraxd,NA
CRIZOTOKO,NA
_happyyoongles,NA
RiangYapuk,NA
AcesG2d,NA
IParkxox,NA
hanbinjjkay,NA
shootingpolaris,NA
addictsayoonmin,NA
sugarboo124,NA
CwYamile,NA
wonderfullyedi,NA
Lilygupta27,NA
1992tinesha,NA
alleyhues0T7,NA
btsdidthatt,NA
e_jjk281,NA
its_J0YA,NA
_HRamn,NA
Rashika18259191,NA
_happyyoongles,NA
_taehyungie_bts,NA
P0SHED,NA
_yougotnojams_7,NA
imaham1512,NA
Jasmine22059893,instagram
IParkxox,NA
alyajalil_,NA
poutingjm,NA
RunRunRunBTS,NA
lifetimezztin,NA
_yougotnojams_7,NA
Sasha51515Sasha,NA
sreenij00587656,NA
Aysiahime,NA
vanteestudio,NA
chellebtoo,NA
katejoon01,NA
_taehyungie_bts,NA
Nargis1005,bts_bighit
n1shimuramandu,NA
vaishnavikolic7,NA
NamuDimples0613,NA
Hope_shine218,NA
8mo_onchild8,NA
among_us07,NA
euphcriqxmin,NA
IParkxox,NA
ot7enthusiast7,NA
BankoLoma,NA
oktaecyeon47,NA
nycnamjoon,NA
e_jjk281,NA
izuuzii,NA
meenusai1753,NA
ako_si_ish,NA
jmnlied,NA
OhyiDr5rcR1pazn,NA
IParkxox,NA
Liki_twt,NA
i_am_bts_ddaeng,NA
tetebejks,NA
_jeongguksluv,NA
_taehyungie_bts,NA
Laura39644610,NA
ShSrujana,NA
anamorfati,NA
bts_core,NA
jhopemp3,NA
Shreyas31730702,NA
btsmysafespace,NA
P0SHED,NA
excelsiormyg,NA
jjyomop,NA
irisnamu,NA
Laura39644610,NA
ARMYBLI13491342,NA
kpop_life7,NA
Resh_mi19,NA
PattieDoubleU,NA
_taehyungie_bts,NA
P0SHED,NA
