source,target
ifeellikespring,NA
nomoredreamot7,NA
vitaeminVante,NA
ikishobii,NA
kthlevanter,NA
JIMINisART,NA
eternaI_7,NA
taesorgans_,NA
fdilaqn,NA
Taetaesmile95tt,NA
bangceo_btsh,NA
btstae163,NA
Sopa_con_sprite,NA
AggMoonJin,NA
the7angelsOt7,NA
BTS_Is_Quotable,NA
jeonjung_kook__,NA
FuriosaLA88,yoongisbaeee
n_nxnaa,NA
mytae4ever,NA
JustinS78674681,NA
jennijlx,NA
jhsprites,NA
nuggets_fried,NA
jennijlx,NA
fancytannies,NA
ccjhope2020,NA
bangtanning77,NA
njyhjvjk,NA
AlienClow,NA
eiryls___,NA
ZannatunNazifa,NA
skybaby_papa,NA
YoungmiHan5,NA
hanbinjjkay,NA
glammqueentiara,NA
AfreenS93811154,NA
chaoticneutralv,NA
Monceeharuhi,NA
BTS_TWT_TAEE,NA
jk97_201011,NA
BrendaRamosRod1,NA
KeepgoinU,NA
bamieandkoo,NA
semi_detachedd,NA
glammqueentiara,NA
JamylaRivera,NA
taebulat,NA
nappingcookie,NA
sugalovelove123,NA
glammqueentiara,NA
noonas_podcast,noonas_podcast
NamjooniesBook,NA
tvrkishhdelight,NA
4ever4yoongi,NA
noonas_podcast,NA
pjs4__,NA
jeonwwh,NA
aaaaaarmmyyyyy,NA
jungkookmilindo,NA
Monceeharuhi,NA
taeIiah,NA
NamjooniesBook,NA
dew_aurora,NA
jungkookmilindo,NA
smgfilter,NA
nay_v_,NA
Yeotan32018109,NA
FrhHzwani,NA
jinlachimolala1,NA
Kookianaa,NA
jungkookmilindo,NA
KellyP221,NA
barcenas_anna,NA
btsparkjimin_27,NA
kimtinyvantae,NA
ButterflyBB,NA
outro_wonder,NA
jungkookmilindo,NA
hanbinjjkay,NA
shabana_javaid,NA
nay_v_,NA
jinlachimolala1,NA
glammqueentiara,NA
disease_Fer29,NA
jungkookmilindo,NA
hanbinjjkay,NA
sioson_jazmine,NA
yktv_czs,NA
lorbitter_sweet,NA
TiuCNng2,NA
jinlachimolala1,NA
bangtanshouse,NA
sugassi_hobi,NA
AfreenS93811154,NA
nay_v_,NA
bcldsa,NA
SunnyAsmaa,NA
kathjk28,NA
lorbitter_sweet,NA
NamjooniesBook,NA
BTS_VTAE__,NA
JamylaRivera,NA
berrymeowgi,NA
uvekvernon,NA
tioudora,NA
taetaesunflowrr,NA
taekook_my_uwu,NA
applevsace,NA
bcldsa,NA
Fairyfresh4223,NA
YK99024771,NA
KristijanaMilat,NA
ZamanMonisha,NA
Oz_Mook,NA
Lovelyybearr,NA
FelixsBrowniez,NA
4ever4yoongi,NA
Evelin19lara,NA
JunYoung95z,NA
_YOUniverse613,NA
angelahervina,NA
BangtanVisharmy,NA
nay_v_,NA
njs001_hybe,NA
anshu_0803,NA
Ashjackie23,NA
_YOUniverse613,NA
babymochii_03,NA
kingtan875,NA
FelixsBrowniez,NA
softesthobi,NA
cherrykvs,NA
taecelupsosro,NA
KookSweetNoona,NA
eunicorn__,NA
BrendaRamosRod1,NA
btsarmyyy310503,NA
Jeonlamia_Ssum4,NA
nay_v_,NA
cody_min_,NA
KookSweetNoona,NA
Oz_Mook,NA
_jk3coursemeal_,NA
BTSlover_Tk,NA
jungshookyyyy,NA
NSYHJTJ_25,NA
FelixsBrowniez,NA
wntercgv,NA
nay_v_,NA
itsbell0220,NA
JamylaRivera,NA
Karolin43138183,NA
_YOUniverse613,NA
bonsaibrei,NA
taegguk_luv_,NA
95springdayy,NA
simpyoshi_,NA
yoongishawtyyy,NA
4ever4yoongi,NA
seesawjk_,NA
manjoonspersona,NA
Karolin43138183,NA
YK99024771,NA
BrendaRamosRod1,NA
bonsaibrei,NA
sinceritaee,NA
OT7army93,NA
yoongisbbitxh,NA
DPabricante,NA
chaapiot,NA
MoonRespectMei,NA
jeonwwh,NA
sinceritaee,NA
eternalstarjjk,NA
asidagreat,NA
BrendaRamosRod1,NA
bonsaibrei,NA
PornelosJoshua,NA
NurS_7Wings,NA
Reshmee_37,NA
iChuSana,NA
purplegirl_bts,NA
sinceritaee,NA
kim_lamtae,NA
bonsaibrei,NA
Taenisha4,NA
Jia06975391,NA
nay_v_,NA
btsblpinkworld_,NA
luvjungone,NA
beeautie3,NA
Amana_Aleemath,NA
Skuh8,NA
chaapiot,NA
VR_ARMY7,NA
happytinykoo,NA
cecil_Arg,cecil_Arg
BjpFront,NA
woncarts,NA
arisvoicephile,NA
dimpi_iiiii,NA
jk_190811_,NA
J2212V,NA
littlejiminie13,NA
lilroarroar1,NA
Utopi_BE,NA
unbotheredyoon,NA
btsblpinkworld_,NA
FelixsBrowniez,NA
happytinykoo,NA
Jennife28098947,NA
mEugee,NA
jiminthetical,NA
Amana_Aleemath,NA
Janelive2000,NA
Ashonell,NA
alfiyabaig_29,NA
yktv_czs,NA
heystopit9,NA
52Anushka,NA
jamievmin,NA
Davin_2000,NA
_YOUniverse613,NA
MaryampurpleBTS,NA
bngtanpoptitans,NA
benholicvarsha,NA
jkkcutiest,NA
taegiveIvet,NA
gen123d,NA
alfiyabaig_29,NA
dilfholland,NA
CandaceG83,NA
omelas21,NA
purplearmy0907,NA
AlishaTSS,NA
whtbrds,NA
Soumyta1,NA
jungkochh,NA
Snaaaccc,NA
realmeloverRM1,NA
BrendaRamosRod1,NA
kthl00ver,NA
MaghnaD,NA
bcldsa,NA
tutuomo,NA
MinshiiJ,NA
Snaaaccc,NA
MadhurSmriti1,NA
bts_urwa7,NA
Rachel00806134,NA
Mooncherry28,NA
Nature0591,NA
Uwie280371,NA
kthsnowball,NA
crystalsnowist,NA
Sreethikabts,NA
monoroses09,NA
_wintertaehyng,NA
micasajeon,NA
jamievmin,NA
RMSweet9,NA
taetaemimir,NA
BrendaRamosRod1,NA
Snaaaccc,NA
0mpriya,NA
taesdeepvoice_,NA
KookSweetNoona,NA
sugacat_yoongi,NA
JamylaRivera,NA
Mooncherry28,NA
Snaaaccc,NA
iconicfelip,NA
strawbearytaee,NA
beeautie3,NA
BangtanVisharmy,NA
basopakemangkok,NA
denisecasss,NA
Rachel00806134,NA
bufftandilfs,NA
jongsungparkk,NA
monieworld,NA
adigyu,NA
I_am_done__,NA
Eva_268,NA
lovelyjmn613,NA
padilla_kei,NA
luvprodyoongi,NA
alfiyabaig_29,NA
kiki_archive,NA
BTS_SUPERMACY13,NA
byvantv,NA
liriumh,NA
babymochii_03,NA
BhNouha,NA
dionysusbieber,NA
_TayandTae_,NA
nekoyoong1,NA
ForeverbangtanO,NA
sassyjmp_,NA
Rachel00806134,NA
875HINEE,NA
joys_thoughts,NA
SnghnJ,NA
adigyu,NA
rockbison_26,NA
rhythm_122001_,NA
Zahira131095,NA
heycutipie,NA
Amana_Aleemath,NA
Snaaaccc,NA
BTS_girl_ot7,NA
JINMEOSJIN,NA
tiffany_jk2k2,NA
RMSweet9,NA
ReeARMY7,NA
bangtannniesss,NA
bak7bak7,NA
berna210329,NA
Notthesame777,NA
SimpleeTrill,NA
VR_ARMY7,NA
iAmSweety_SS,NA
dareasfolk,NA
Rachel00806134,NA
jiminshoneymady,NA
indian_amii,NA
shabana_javaid,NA
iconicfelip,NA
KookSweetNoona,NA
rockbison_26,NA
Rachel00806134,NA
kidamneshia,NA
0mpriya,NA
Amana_Aleemath,NA
Kpopvalee9,NA
rhythm_122001_,NA
votingbbmas0613,NA
bngtanpoptitans,NA
BrendaRamosRod1,NA
RuksarRai,NA
yktv_czs,NA
4ever4yoongi,NA
paralianess,NA
ffxx5617,NA
Bangtanteamo2,NA
NdellWerrr,NA
jazminmadera62,NA
popigirl10,NA
ParkTiya12,NA
SunnyAsmaa,NA
Amana_Aleemath,NA
LouderThanYou7,NA
4ever4yoongi,NA
RajLaxm69968250,NA
adigyu,NA
khushboobakshi8,NA
dionysusbieber,NA
padilla_kei,NA
KookSweetNoona,NA
tiffany_jk2k2,NA
aashh6_,NA
JamylaRivera,NA
plenvc,NA
yooongKIMin,NA
bonsaibrei,NA
esoR0708,NA
alfiyabaig_29,NA
dionysusbieber,NA
jiminbyheart,NA
Arunaa_S,NA
monoroses09,NA
iconicfelip,NA
FreePandaHugs,NA
ArmyfromButter,NA
taeswl,NA
miraeee16,NA
BTS_IG_Updates,NA
dionysusbieber,NA
Mariana____24,NA
allenhonorica,NA
Mng63142271,NA
adigyu,NA
ellemiese,NA
padilla_kei,NA
is_ash7,NA
Asmaa610kh,NA
BTSARMY89453925,NA
sunandashilpa88,btschartdata
babymochii_03,NA
alleyhues0T7,NA
JamylaRivera,NA
jjeonjoon,NA
missbriyana,NA
Snaaaccc,NA
Amana_Aleemath,NA
rjooniverse,NA
nisbtsot7,NA
iconicfelip,NA
Bangtanteamo2,NA
Amana_Aleemath,NA
elbgtnns,NA
BrendaRamosRod1,NA
BleedSeokjin,NA
caryl184,NA
thsskhw,NA
rllylostmymind,NA
Snaaaccc,NA
VanToehyung,NA
Skookie_078,NA
SQ2345,NA
wwh_jin_nie,NA
AteezInNewark,NA
_solu_machiii_,NA
taegguk_luv_,taegguk_luv_
wishingchan,NA
adigyu,NA
channieismybias,NA
susmirichard,NA
elbgtnns,NA
artz_cc,NA
pjmyd_,NA
S0JINKIM,NA
fault_of_solo,NA
theternaljoonie,NA
rainterbear,NA
artz_cc,NA
_Bubble_Bun_,NA
BodoHebat_,NA
CantTel07206167,NA
AteezInNewark,NA
BodoHebat_,NA
AshleyA027,NA
armydoyathang,NA
crissykulit,NA
juhii_21,NA
JamylaRivera,NA
tasuk_0721,NA
seonyeontannies,NA
adigyu,NA
borahaelisa,NA
jarexitic,NA
bts_urwa7,NA
BrendaRamosRod1,NA
thuylun18595,NA
Snaaaccc,NA
Rachel00806134,NA
eclectic_sam,NA
iifarmy7,NA
essie_pinkette,NA
BrendaRamosRod1,NA
snsnghnlvr,NA
kkook_tokki,NA
ali7_bts,NA
JenHope2313,NA
esoR0708,NA
hxzytae,NA
ilovebts_lol,NA
harithaj_,NA
padilla_kei,NA
juVrang,NA
mejinnie_,NA
Rachel00806134,NA
ladygaihla1,NA
cm_lizette,NA
_cieloruiz_,NA
arisvoicephile,NA
jeonrks,NA
monoroses09,NA
_TayandTae_,NA
abiksha_b,NA
Akshara79015676,NA
BTSARMY31237472,NA
ughmono_,NA
dpuniverse_bts,NA
hxzytae,NA
we_taekook,NA
bearearlyhere,NA
Y00NGIC0R3,NA
TAEKOOK199597_,NA
we_taekook,NA
mintxkoo,NA
JamylaRivera,NA
eukooia,NA
Mee_JK06,NA
BrendaRamosRod1,NA
we_taekook,NA
babymochii_03,NA
Akshara79015676,NA
KimMichi2,NA
Mary202110,NA
NSari1707,NA
_95soulmate,NA
sadppl92,NA
Lavv_twt,NA
abiksha_b,NA
STEM_Army,NA
SoHee_21,NA
imjk55572979,NA
Akshara79015676,NA
Ichibanes,NA
EletaeR,NA
Jiminsjam____,NA
CROWMYOON,NA
thesecrettae,NA
notzexke,NA
SoHee_21,NA
httpviatae,NA
yooongs93,NA
pikaaalipa,NA
harithaj_,NA
celesjjk,NA
buSshix,NA
jjhthexplore,NA
Chimchim1362013,NA
BrendaRamosRod1,NA
thuylun18595,NA
HOBISSBFF,NA
spidey5406,NA
btsoursafeplace,NA
taekmyhandd,NA
hoodlikegordon,NA
DOpenHeartHuman,NA
harithaj_,NA
BrendaRamosRod1,NA
FlamingDubu,NA
IrelandsMochii,NA
jeonyla,NA
viantikemala,NA
TaehyungTiffany,NA
IrelandsMochii,NA
soulmate_7_,NA
hoodlikegordon,NA
Borahaebts09,NA
jjminfairy,NA
crazyforjustme,NA
encprz,NA
gcfjkyy,NA
soulmate_7_,NA
ChrystalInfires,NA
jimnijeongguk,NA
BrendaRamosRod1,NA
Subumbra2,NA
pjmyd_,NA
jumpfireidol,NA
tae_kook4655,NA
Rodainaaaaaaaa,NA
_TayandTae_,NA
olavaira,NA
lilotuspjm,NA
hoodlikegordon,NA
btslover20201,NA
btskea7,NA
promisetaem,NA
BrendaRamosRod1,NA
SunnyAsmaa,NA
youknowme_10,NA
swatichaturved6,NA
theternaljoonie,NA
shofia384627,NA
JaneJiminie,NA
Finayiii,NA
mjLPnd,NA
isanya00,NA
hoodlikegordon,NA
pjmyd_,NA
gijeog_aegi,NA
Seoulkka,NA
stillwithtae7,NA
jeonyla,NA
supremacyBTS26,NA
garthika0404,NA
lllaudr_,NA
btskea7,NA
613709AFBF,NA
Jimingot_s,NA
Wheresmyangelfk,NA
Jiminsjam____,NA
Alice_393,NA
hoodlikegordon,NA
wency309,NA
tata_euphoria,NA
IngridCerna8,NA
btsdistrict,NA
BlomTaylin,NA
Mary202110,NA
supremacyBTS26,NA
olavaira,NA
inday_jeje,NA
k_lau_dia,NA
Rachel00806134,NA
mysevendevils,NA
IrelandsMochii,NA
illusionrecluse,NA
pritisha__,NA
IMehak7,NA
NamjoonGranger,NA
JkCulisuelta,NA
vhopelopy_,NA
zackofbf,NA
avi_Nukmah,NA
flterjmin,NA
613709AFBF,NA
sttrwbrry,NA
holyDuck0,NA
bangamyy,NA
zackofbf,NA
kthlqv,NA
sarahgirl1412,NA
hoodlikegordon,NA
rdhtljnnh_,NA
squishmoni,NA
EllieYing2,NA
7puzzle_pieces,NA
btskea7,NA
ChrystalInfires,NA
ZinHit_22019,NA
bunnybear_ph,NA
nojk31,NA
zackofbf,NA
Serna47785735,NA
_cyyrell,NA
pjmyd_,NA
Rachel00806134,NA
IbaranPena,NA
cutestcatsuga,NA
LOveAthena13,NA
Joonie_Km,NA
kookbangtanceng,NA
aoaspam,NA
EllenSm43027319,NA
babymochii_03,NA
Julie24640292,NA
PrincessParcon2,NA
zackofbf,NA
Rachel00806134,NA
ctrlkooks,NA
btkksd,NA
UthmaanKaranie,NA
jjhthexplore,NA
storyofpjm,NA
Kenma_09,NA
dokMerii,dokMerii
altogether7ever,NA
bazilah_hamid,NA
kimnaraaafeee,NA
Aroojbidbts,NA
amiiiyaaaa,NA
Rachel00806134,NA
zackofbf,NA
deewanikth,NA
nymph820,NA
MyLoveJiminie3,NA
expensive_yeoja,NA
jeonyla,NA
_nurrazizah,NA
IbaranPena,NA
vkoolopsia,NA
altogether7ever,NA
Kokocorns,NA
OT7kim_,NA
ggukskimchi,NA
IbaranPena,NA
Snuggles_twt,NA
hoodlikegordon,NA
YEOUBIxMANG,NA
elringsmoa,NA
AnnieNg96620628,NA
MileHuanca,NA
_nurrazizah,NA
MayuSChi,NA
ggukskieee,NA
aborahaemi,NA
min_astugD,NA
btsbighiit_,NA
ChrystalInfires,NA
fairietae_,NA
kth_ilysomuch,NA
B16121775,NA
hoodlikegordon,NA
PrincessParcon2,NA
bubypjms,NA
riingonouta,NA
KookieSan0107,NA
zackofbf,NA
jiniyunki,NA
Mixking12,NA
sparklesforkoo,NA
MyLoveJiminie3,NA
PrincessParcon2,NA
zackofbf,NA
bunnynajwa_,NA
DoubleBunnyok,NA
Rachel00806134,NA
tirednessmoon,NA
jichukosmos,NA
jimblesmochi,NA
PrincessParcon2,NA
lycrhaa,NA
ChrystalInfires,NA
asyhhmdn,NA
1013BESTBOY,NA
ImThatBadGirlJK,NA
Rachel00806134,NA
korejnjm,NA
DeniaOstar,NA
P1nKyS0ul,NA
DontCallMe_Stef,NA
kkuIyoongi,NA
BuBaeBae999,NA
iLouisss,NA
LuciaRu27892321,NA
koobbystarcandy,NA
PrincessParcon2,NA
M_SpringDay,NA
XOXO37516464,NA
thetriviaseesaw,NA
X_FairyLight_X,NA
07bangtan1313,NA
Alindalin3,NA
evelyn20593854,NA
KookSweetNoona,NA
_EternalFilter,NA
rayyy2702,NA
PrincessParcon2,NA
hoodlikegordon,NA
jiniyunki,NA
DontCallMe_Stef,NA
joonieinabeanie,NA
hey_7dorks,NA
_EternalFilter,NA
ChrystalInfires,NA
misysaladaga,NA
jiniyunki,NA
CherryD06983981,NA
kidamneshia,NA
ParkTiya12,NA
613x7,NA
alleyhues0T7,NA
evelyn20593854,NA
Bri_siv15,NA
zeeyaayaaw,NA
arianelovesbts,NA
nnajn_,NA
bubbletae7_,NA
TaetaeManoban,NA
Mixking12,NA
JMEONFILTER,NA
jiminsoftsmile,NA
PrincessParcon2,NA
minsgpdnim,NA
hoodlikegordon,NA
Serna47785735,NA
Ot7Liz,NA
thuylun18595,NA
Nova81569056,NA
jiminjammin,NA
areeba82,NA
PrincessParcon2,NA
koobbystarcandy,NA
my_time13,NA
DevArmyMoaEn_,NA
TinaTine07,NA
MyHomeBngtan,NA
pjmyd_,NA
Diya66995068,NA
jimiftkoo,NA
sope_is_true_,NA
DevArmyMoaEn_,NA
Vishnup29868789,NA
biasaddict,NA
DOpenHeartHuman,NA
ChrystalInfires,NA
heartsfortae30,NA
tasuk_0721,NA
DevArmyMoaEn_,NA
TinaTine07,NA
MyLoveJiminie3,NA
sope_is_true_,NA
Revathi71484212,NA
njmjpkj,NA
peachytaelly,NA
AteezInNewark,NA
Jaquely20353568,NA
P1nKyS0ul,NA
0709x0613,NA
XOXO37516464,NA
v3sus2,NA
DuttaBaishali,NA
evelyn20593854,NA
PrincessParcon2,NA
micaeluuuhhh,NA
jisukittyy,NA
ttannies7,NA
MrsJungHoseok94,NA
Diya66995068,NA
koobbystarcandy,NA
BTSiss7,NA
bleusides,NA
cut1ech1m,NA
mimijm9,NA
PrincessParcon2,NA
Peachyxxtae,NA
itzaarushi,NA
Elizabe38120821,NA
bbabangborahae,NA
JVNGKOOK_______,NA
Diya66995068,NA
moona_king,NA
ylpyourss,NA
BTSPotatoFriend,NA
soobreadi,NA
Mixking12,NA
PrincessParcon2,NA
dianacrunchie,NA
ylpyourss,NA
ElysianTaedream,NA
jiniyunki,NA
_a_i_a_g,NA
ot7_subha,NA
PrincessParcon2,NA
Mng63142271,NA
anyashiii,NA
sultanamosleha1,NA
Mixking12,NA
kthtoge,NA
b_utt3rfl_y,NA
chumminshi,NA
julianloraine,NA
PrincessParcon2,NA
_a_i_a_g,NA
jinslovestory,NA
rayyy2702,NA
ChrystalInfires,NA
skBTSenthusiast,NA
soobreadi,NA
shabana_javaid,NA
PrincessParcon2,NA
sope_is_true_,NA
FathimathNajiha,NA
jmkookie07,NA
MAYALOVES875,NA
soobreadi,NA
dokMerii,NA
JVNGKOOK_______,NA
PtdJoy,NA
parayoon_,NA
jeontaekooz,NA
PrincessParcon2,NA
JVNGKOOK_______,NA
rayyy2702,NA
thirs_TAE_,NA
belledejoon,NA
soobreadi,NA
bangtanlete,NA
PrincessParcon2,NA
zsanzsan_,NA
omunomnamu,NA
Diya66995068,NA
bellaahmadku,NA
JJKWOJAH,NA
XOXO37516464,NA
TinnyRm,NA
potaetojay_,NA
IngridCerna8,NA
AnimonieH,NA
thirs_TAE_,NA
danae_ot7,NA
Mrinmoyee0716,NA
tirednessmoon,NA
sally_pdf,NA
JJKWOJAH,NA
rayyy2702,NA
michimeowtv,NA
PrincessParcon2,NA
soobreadi,NA
spamcart_,NA
thirs_TAE_,NA
Jikooookie1,NA
aliteyuh,NA
Diya66995068,NA
Daniella070301,NA
j4hop,NA
PrincessParcon2,NA
Sourav09837593,NA
Moni77224539,NA
sally_pdf,NA
tirednessmoon,NA
julianloraine,NA
Luna48622002,NA
jinidle,NA
PrincessParcon2,NA
Avalon_Shadow,NA
rayyy2702,NA
sugariesweetstn,NA
MinahilZafar4,NA
sally_pdf,NA
thirs_TAE_,NA
FathimathNajiha,NA
jinidle,NA
Diya66995068,NA
eveliana6,NA
Writer_on_ice,NA
zeeyaayaaw,NA
PrincessParcon2,NA
sarahgirl1412,NA
LUVVV0909,NA
soobreadi,NA
danae_ot7,NA
Diya66995068,NA
7btsworld1899,NA
Zalika0930,NA
P1nKyS0ul,NA
AlyaaCl,NA
Beki_Snowflake,NA
ourmoonboy,NA
koostllwthy,NA
anisafit14,NA
baileyswalker_,NA
Anzeen8,NA
Zalika0930,NA
Diya66995068,NA
BadGyalDi,NA
dsimpforot7,NA
svan96maskup,NA
P1nKyS0ul,NA
PrincessParcon2,NA
Bangtan7_TTU,NA
K00ki3ss,NA
sally_pdf,NA
xoxodrunkk,NA
soobreadi,NA
minggu_zi,NA
Sugaondafloor,NA
PrincessParcon2,NA
rayyy2702,NA
fyaspov,NA
helen96344051,NA
BTS_OT7_JK,NA
vkimchiii,NA
sally_pdf,NA
FathimathNajiha,NA
w7ntercoffe8,NA
Christi02850066,NA
PrincessParcon2,NA
yoongiwiggle,NA
sally_pdf,NA
julianloraine,NA
thepurplelining,NA
bangtanpouts,NA
sillyrarisa,NA
kathyxmay,NA
Grace_kozo,NA
PrincessParcon2,NA
bulan_tala,NA
MizLicketySplit,NA
Vanitha90586822,NA
MiaRicafort,NA
NazurahtulZhirh,NA
w7ntercoffe8,NA
bamtanniexo,NA
DCLeandra,NA
cartzhee,NA
MinHana931,NA
athaea,NA
elringsmoa,NA
DeniaOstar,NA
ramitasri_k,NA
pissatay47,NA
_kookhul_,NA
jinki_dy,NA
sally_pdf,NA
thaakirahsamaai,NA
jk120613,NA
wwqqqqqqh,NA
micmicbung3e,NA
trianglegim_bap,NA
yvaineinshadows,NA
sowoozoojoon,NA
nanaaact,NA
ethersljimin,NA
kimr_j,NA
XOXO37516464,NA
AntonellaYuriko,NA
OSTbyViscoming,NA
bangtansjo,NA
7btsworld1899,NA
izmeeka,NA
vlskoya,NA
maulofthesoul,NA
XOXO37516464,NA
vantae_sn,NA
Mylalalalaskie,NA
Mary202110,NA
Kookglitter,NA
im_tecna,NA
dmalditaqueen,NA
jungkokieepogi,NA
estefaemart,NA
PrincessParcon2,NA
__beatrizzz___,NA
thaisvr96,NA
sulani_pomodya,NA
Vminshi_,NA
tata_euphoria,NA
bts_is_life1401,NA
PrincessParcon2,NA
Es1_Violet,NA
divineseokjin,NA
israburcu,NA
zoGhiscari,NA
FatimaM82482128,NA
Diya66995068,NA
EuphoriaB7,NA
ridafat56501149,NA
PrincessParcon2,NA
7btsworld1899,NA
diszkook,NA
erntas06,NA
neumo7,NA
jiminsoftsmile,NA
clownacademia,NA
PrincessParcon2,NA
RTMM31754110,NA
Fabisyra,NA
theterriblenap,NA
Baellawinxcityx,NA
PrincessParcon2,NA
namfishjin,NA
bangtan_btshope,NA
yen_lestrange,NA
itsyoongis,NA
Baellawinxcityx,NA
kthtoge,NA
gabbryden,NA
tahi_tafannom,NA
koobbystarcandy,NA
IUkthingz,NA
BlackSw31648369,NA
_beasrsp,NA
julianloraine,NA
My_Sugakookies,NA
XOXO37516464,NA
starfirejimin,NA
PrincessParcon2,NA
Serna47785735,NA
bangtan_flavour,NA
Baellawinxcityx,NA
VinodKumarr2002,NA
wiliwilijin,NA
_yoongsbangtan_,NA
Serna47785735,NA
taeli_7,NA
bangtan_flavour,NA
PrincessParcon2,NA
garthika0404,NA
justfangirli,NA
just_kmh,NA
pjjchimmy,NA
musfikur021,NA
PrincessParcon2,NA
Ageejoon,NA
Krish99692258,NA
4dayscreature,NA
miniwakookie,NA
PrincessParcon2,NA
inamysir,NA
jiminssigf,NA
nini_w_luv,NA
im_tecna,NA
heavenschimj,NA
___cHiMmY_,NA
WinterRainbow4,NA
koobbystarcandy,NA
AdhyaAgarwal,NA
tata_euphoria,NA
purplebldbtch,NA
ksjwluvvv,NA
Aestheticreels1,NA
Mary202110,NA
inlovewithsope,NA
LivaHappy,NA
namuunchild,NA
PrincessParcon2,NA
jaonaidharse,NA
ceiarendipityyy,NA
kthkookiie,NA
PrincessParcon2,NA
jiminssigf,NA
Baellawinxcityx,NA
sleeepykoya,NA
Aestheticreels1,NA
BIGGESTGROUPBTS,NA
Chokoo_chip,NA
Minsuga_Fairy,NA
ravina_ferrer,NA
GRLWITHLUV7,NA
ggukeyy,NA
jiminssigf,NA
77motorcycles,NA
itsabeerhassan,NA
tokkimun,NA
ggukeyy,NA
Whalien_52hrz,NA
mj14199,NA
sorrybadda,NA
musichealsdsoul,NA
CoolBoomBenJa,NA
bts_butter18,NA
me_voidfrog,NA
LoveWithAllYou,NA
sugarap1993,NA
Baellawinxcityx,NA
uhgoodjeons,NA
BANGTANsWifey07,NA
jkitsagustd,NA
minieyoongle,NA
titly0120,NA
taeg7koo,NA
neumo7,NA
tae_ismybae95,NA
alecious7,NA
monigotjams,NA
_deartaetae_,NA
YooniesQueen,NA
sally_pdf,NA
bonsai_2920,NA
yoonlvss,NA
qtiehobie,NA
alineadh19,NA
Singularitatae,NA
wanderjoonie,NA
bns_geniuslab,NA
hyeliz22,NA
nhhhana,NA
bangwoolala06,NA
avantaebear,NA
PrincessParcon2,NA
syubs9395,NA
jiminbyheart,NA
V_kingdaegu,NA
im_tecna,NA
wilder27603497,NA
milli_green0613,NA
Bts_In_Army_twt,NA
smd_za,NA
chewinle,NA
sally_pdf,NA
ggukbs_xx,NA
blushingk00,NA
D1aphanousBTS,NA
purpleheartemji,NA
Sahra1236,btsvotingorg
sally_pdf,NA
V_kingdaegu,NA
kkmjpkjs7,NA
PrincessParcon2,NA
MArevalo936,NA
baddbadbyee,NA
IOt7army,NA
sunkissedyoonie,NA
PrincessParcon2,NA
vantedeu,NA
MArevalo936,NA
Ishani2208,NA
bangtanbaeys,NA
jeonryry,NA
M00NY07,NA
shookyisacookie,NA
ccdmn_,NA
bts_shanta,NA
bb_bwnlk,NA
STAYBTS7,NA
MArevalo936,NA
wntrsol,NA
MayMyoAung9,NA
PrincessParcon2,NA
Kpoplovel98,NA
taelepathy_v,NA
michaengsatzuyu,NA
Jendeukberry,NA
MayMyoAung9,NA
V_kingdaegu,NA
berriefairys,NA
gee12nette,NA
ravina_ferrer,NA
rescuedbybts,NA
sjslxrj,NA
MayMyoAung9,NA
PrincessParcon2,NA
dsjxbts,NA
new_miis0___,NA
doublebunney,NA
_clarissasage,NA
ggukeyy,NA
Sahra1236,BTSChartDailyx
MayMyoAung9,NA
ddeokmochi,NA
ridafat56501149,NA
JessieH15771240,NA
ana_iyang,NA
artmusic_be,NA
Quoyah131,NA
4thsummerstreet,NA
MayMyoAung9,NA
iam_Curlylocked,NA
not7withyou,NA
_army1987,NA
Serna47785735,NA
jkborahae,NA
jinmyjinnie,NA
taekinover,NA
MayMyoAung9,NA
Krish99692258,NA
MeLiSsA39128210,NA
jiminbyheart,NA
amiajinya,NA
MayMyoAung9,NA
PrincessParcon2,NA
yashyoongi,NA
Serna47785735,NA
Begintannies,NA
lourishanaaa,NA
Quin95552366,NA
ravina_ferrer,NA
Serna47785735,NA
SummerSpirit90,NA
X_psych_X,NA
BtsManjima,NA
MayMyoAung9,NA
serenple,NA
augustmoondp,NA
philograsiya,NA
MayMyoAung9,NA
bxddie_ot7,NA
alecious7,NA
Deku4355946,NA
_stxck,NA
kookachu_01,NA
MayMyoAung9,NA
Mary202110,NA
Taejimin03,Taejimin03
Quin95552366,NA
Delneity,NA
BrianJoanne,NA
Hedieh31870808,NA
Bangtan4ever777,NA
AdhyaAgarwal,NA
yondaimeis,NA
MayMyoAung9,NA
blue_and_tae,NA
Serna47785735,NA
PrincessParcon2,NA
ninichanlee,NA
AdhithiUday,NA
bts_meww,NA
JJK_zzz,NA
sunainagrey,NA
MayMyoAung9,NA
berriefairys,NA
astrnxva,NA
thatseyeliner,NA
LoonyWarrior,NA
Quin95552366,NA
PrincessParcon2,NA
QEllaTan,NA
heyoMary,NA
MayMyoAung9,NA
alexxbangtan,NA
len_magdalenaa,NA
Quin95552366,NA
Serna47785735,NA
enhapvn,NA
nhhhana,NA
_saylaraa,NA
leslietendo,NA
hobismysmile,NA
BadGyalDi,NA
Youdont81694913,NA
Tessa_BabyCrab,NA
MayMyoAung9,NA
uzaaaaiiiir,NA
TalaAlao,NA
Quin95552366,NA
minevpayo,NA
leztirf23,NA
cooukyy,NA
Thesecretangel5,NA
ravina_ferrer,ravina_ferrer
